Shell,a_sig,m_sig,b_sig,n_sig,p_sig,q_sig,r_sig,s_sig,t_sig
1s,-1.63E-10,1.07E-10,2.42E+02,-1.14E+01,1.17E+00,-2.37E+00,-2.63E+00,4.88E+00,3.62E-01
2s,-2.66E-11,4.30E-12,9.08E+01,1.07E+01,8.79E-01,-2.28E+00,-2.14E+00,7.42E+00,3.78E-01
3s,2.76E-12,-1.61E-14,6.42E+02,-1.48E+01,6.05E-01,-1.82E+00,-1.76E+00,3.14E+01,6.52E-01
4s,-1.02E-13,4.61E-15,1.26E+03,-3.90E+01,6.61E-01,-1.97E+00,-1.43E+00,1.64E+01,6.14E-01
5s,9.46E-14,-9.44E-16,8.87E+02,-5.51E+00,-4.97E-02,-1.49E+00,-7.56E-01,9.62E+01,4.52E+00
2p1,-1.27E-08,1.70E-09,2.74E+02,-3.46E+00,6.46E-01,-2.42E+00,-5.82E+00,3.80E+00,2.61E-01
2p3,-2.87E-08,3.76E-09,1.91E+02,4.87E+00,4.61E-01,-2.64E+00,-5.47E+00,3.37E+00,2.85E-01
3p1,9.83E-10,7.18E-11,8.73E+02,-3.31E+01,9.51E-01,-2.70E+00,-2.00E+00,2.92E+01,7.78E-01
3p3,5.22E-09,6.28E-11,3.51E+02,5.98E-01,5.94E-01,-2.52E+00,-6.45E+00,4.42E+00,3.48E-01
4p1,-1.02E-10,3.69E-12,3.08E+03,-1.03E+02,1.10E+00,2.10E-01,-9.01E+00,3.05E+01,1.18E-01
4p3,-1.05E-10,2.89E-12,-1.64E+02,1.20E+01,3.08E-01,7.94E-01,-7.06E+00,2.10E+03,1.02E-01
5p1,7.97E-14,3.79E-15,1.29E+03,-3.33E+01,6.30E-01,-1.97E+00,-2.12E+00,4.21E+01,1.01E+00
5p3,-6.01E-13,2.91E-14,2.30E+03,-3.96E+01,5.13E-01,-2.01E+00,-1.67E+00,5.45E+01,9.84E-01
3d3,-2.10E-06,8.48E-08,9.90E+01,5.18E+00,3.36E-01,-2.96E+00,-7.90E+00,4.55E+00,3.00E-01
3d5,-3.90E-06,1.56E-07,5.37E+01,8.05E+00,2.70E-01,-3.05E+00,-8.49E+00,3.44E+00,2.93E-01
4d3,1.29E-06,-8.41E-09,2.70E+02,5.20E-02,4.84E-01,-1.84E+00,-1.66E+01,2.12E+00,2.20E-01
4d5,1.78E-06,-1.08E-08,3.36E+02,5.21E-02,4.52E-01,-1.68E+00,-1.70E+01,1.69E+00,1.99E-01
4f5,-3.48E-05,1.20E-06,1.01E+02,3.79E+00,2.23E-01,-4.09E+00,-2.17E+04,2.88E-02,3.03E-01
4f7,-4.39E-05,1.52E-06,1.01E+02,3.74E+00,2.16E-01,-4.09E+00,-2.16E+04,2.87E-02,3.03E-01
